index,trial_code,sentence,status,target,target_filename,competitor,competitor_filename,Distractor1,Distractor1_filename,Distractor2,Distractor2_filename,Distractor3,Distractor3_filename,audio_tag
21,pred_ant,A termite looks like an ant,filler,ant,PICTURE_585.png,NA,NA,saxophone,PICTURE_107.png,trigger,PICTURE_291.png,box,PICTURE_508.png,2
22,pred_belt,His pants were held up by a belt,filler,belt,PICTURE_165.png,NA,NA,green house,PICTURE_106.png,plumber,PICTURE_294.png,fox,PICTURE_521.png,2
23,pred_bench,The judge is sitting on the bench,filler,bench,PICTURE_449.png,NA,NA,deer,PICTURE_105.png,mime,PICTURE_303.png,telephone,PICTURE_509.png,1
24,pred_bomb,The airplane dropped a bomb,filler,bomb,PICTURE_386.png,NA,NA,nose,PICTURE_100.png,tunnel,PICTURE_286.png,shepard,PICTURE_502.png,2
25,pred_bone,The dog chewed on a bone,filler,bone,PICTURE_24.png,NA,NA,mask,PICTURE_84.png,knot,PICTURE_267.png,sun,PICTURE_488.png,2
26,pred_broom,The girl swept the floor with a broom,filler,broom,PICTURE_590.png,NA,NA,tiger,PICTURE_98.png,cape,PICTURE_275.png,avocado,PICTURE_477.png,1
27,pred_carrot,The rabbit ate the orange carrot,filler,carrot,PICTURE_285.png,NA,NA,heart,PICTURE_83.png,lizard,PICTURE_252.png,circle,PICTURE_496.png,2
28,pred_castle,The queen lives inside of the castle,filler,castle,PICTURE_240.png,NA,NA,bag,PICTURE_53.png,root,PICTURE_245.png,pineapple,PICTURE_442.png,1
29,pred_cheese,He paired the red wine with cheese,filler,cheese,PICTURE_72.png,NA,NA,wasp,PICTURE_62.png,brain,PICTURE_247.png,apron,PICTURE_476.png,2
30,pred_chest,The doctor X-rayed his chest,filler,chest,PICTURE_231.png,NA,NA,feather,PICTURE_97.png,pomegranate,PICTURE_281.png,shoe,PICTURE_541.png,2
31,pred_coin,Let's decide by tossing a coin,filler,coin,PICTURE_383.png,NA,NA,park,PICTURE_82.png,baguette,PICTURE_258.png,shield,PICTURE_501.png,2
32,pred_computer,She started typing on the computer,filler,computer,PICTURE_196.png,NA,NA,saw,PICTURE_52.png,light bulb,PICTURE_244.png,sausage,PICTURE_441.png,2
33,pred_cork,The bottle was sealed with a cork,filler,cork,PICTURE_409.png,NA,NA,fruit,PICTURE_114.png,envelope,PICTURE_310.png,turtle,PICTURE_531.png,1
34,pred_crown,The king wore a golden crown,filler,crown,PICTURE_32.png,NA,NA,milk,PICTURE_96.png,drum,PICTURE_278.png,squirrel,PICTURE_484.png,2
35,pred_dentist,Her tooth hurt so she went to the dentist,filler,dentist,PICTURE_246.png,NA,NA,broccoli,PICTURE_76.png,lamppost,PICTURE_261.png,stairs,PICTURE_500.png,1
36,pred_fist,He hit me with a clenched fist,filler,fist,PICTURE_411.png,NA,NA,painting,PICTURE_99.png,wig,PICTURE_277.png,skunk,PICTURE_493.png,1
37,pred_fork,He eats the salad with a fork,filler,fork,PICTURE_673.png,NA,NA,camel,PICTURE_77.png,island,PICTURE_260.png,basket,PICTURE_487.png,1
38,pred_jar,The cookies were kept in a jar,filler,jar,PICTURE_448.png,NA,NA,lung,PICTURE_112.png,ostritch,PICTURE_299.png,violin,PICTURE_566.png,2
39,pred_knife,I cut my finger with a knife,filler,knife,PICTURE_465.png,NA,NA,hippopotamus,PICTURE_115.png,flower,PICTURE_312.png,astronaut,PICTURE_539.png,2
40,pred_lamp,"It's getting dark, so light the lamp",filler,lamp,PICTURE_414.png,NA,NA,drum set,PICTURE_101.png,rhinoceros,PICTURE_282.png,tongue,PICTURE_503.png,2
41,pred_map,We're lost so let's look at the map,filler,map,PICTURE_677.png,NA,NA,robot,PICTURE_87.png,hand,PICTURE_264.png,chicken,PICTURE_454.png,2
42,pred_meat,He is a vegetarian so he won't eat meat,filler,meat,PICTURE_81.png,NA,NA,wave,PICTURE_72.png,choir,PICTURE_253.png,tank,PICTURE_621.png,2
43,pred_microphone,The musician sang into the microphone,filler,microphone,PICTURE_28.png,NA,NA,shadow,PICTURE_55.png,pirate,PICTURE_265.png,fly,PICTURE_462.png,2
44,pred_mirror,He saw his reflection in the mirror,filler,mirror,PICTURE_340.png,NA,NA,tractor,PICTURE_74.png,potato,PICTURE_249.png,coffin,PICTURE_497.png,2
45,pred_mouse,They played a game of cat and mouse,filler,mouse,PICTURE_1.png,NA,NA,fire,PICTURE_116.png,wing,PICTURE_307.png,clown,PICTURE_532.png,2
