index,sentence,trial_code,status,target,target_filename,competitor,competitor_filename,Distractor1,Distractor1_filename,Distractor2,Distractor2_filename,Distractor3,Distractor3_filename
1,He wants to know about the archer,di_archer,critical,archer,,arch,,robe,PICTURE_14.png,jellyfish,PICTURE_193.png,bagpipe,PICTURE_425.png
2,Ruth has a problem with the armor,di_armor,critical,armor,,arm,,fairy,PICTURE_7.png,scale,PICTURE_212.png,pistachio,PICTURE_410.png
3,They’re glad we heard about the axle,di_axle,critical,axle,,axe,,chin,PICTURE_6.png,waiter,PICTURE_726.png,mountain,PICTURE_407.png
4,We did not discuss the barrel,di_barrel,critical,barrel,,bear,,shoulder,PICTURE_5.png,compass,PICTURE_197.png,egg,PICTURE_423.png
5,The boy thought about the diamond,di_diamond,critical,diamond,,dime,,leg,PICTURE_8.png,printer,PICTURE_204.png,factory,PICTURE_412.png
6,I am thinking about the hammer,di_hammer,critical,hammer,,ham,,church,PICTURE_4.png,ankle,PICTURE_205.png,throne,PICTURE_420.png
7,Paul spoke about the needle,di_needle,critical,needle,,knee,,burger,PICTURE_11.png,seagull,PICTURE_220.png,comb,PICTURE_426.png
8,She wants to talk about the panda,di_panda,critical,panda,,pan,,shower,PICTURE_9.png,diaper,PICTURE_218.png,sock,PICTURE_416.png
9,The man spoke about the pilgrim,di_pilgrim,critical,pilgrim,,pill,,lion,PICTURE_15.png,zipper,PICTURE_223.png,cannon,PICTURE_437.png
10,You were interested in the sprinkler,di_sprinkler,critical,sprinkler,,spring,,bicycle,PICTURE_23.png,woman,PICTURE_239.png,curtain,PICTURE_418.png
11,You knew about the oasis,tri_oasis,critical,oasis,,ace,,pocket,PICTURE_39.png,pacifier,PICTURE_221.png,bird,PICTURE_430.png
12,The old man talked about the conductor,tri_conductor,critical,conductor,,duck,,hairbrush,PICTURE_43.png,wall,PICTURE_227.png,mitten,PICTURE_431.png
13,Jane has a problem with the pajamas,tri_pajamas,critical,pajamas,,jam,,screwdriver,PICTURE_46.png,train,PICTURE_226.png,bell,PICTURE_433.png
14,We spoke about the bikini,tri_key,critical,bikini,,key,,newspaper,PICTURE_61.png,paintbrush,PICTURE_224.png,thumb,PICTURE_438.png
15,Peter knows about the torpedo,tri_torpedo,critical,torpedo,,pea,,firefighter,PICTURE_48.png,giraffe,PICTURE_236.png,star,PICTURE_447.png
16,I did not know about the repairman,tri_repairman,critical,repairman,,pear,,button,PICTURE_64.png,eye,PICTURE_241.png,watch,PICTURE_452.png
17,They were interested in the papaya,tri_papaya,critical,papaya,,pie,,couch,PICTURE_67.png,mailman,PICTURE_242.png,rectangle,PICTURE_463.png
18,Mary knows about the eraser,tri_eraser,critical,eraser,,race,,candle,PICTURE_68.png,llama,PICTURE_232.png,mustache,PICTURE_494.png
19,We were discussing the intestine,tri_intestine,critical,intenstine,,test,,roof,PICTURE_66.png,puzzle,PICTURE_238.png,clothespin,PICTURE_467.png
20,He is thinking about the volcano,tri_volcano,critical,volcano,,cane,,trophy,PICTURE_71.png,acorn,PICTURE_228.png,square,PICTURE_472.png
21,He is a violinist in the orchestra,pred_orchestra,filler,orchestra,PICTURE_70.png,NA,NA,ball,PICTURE_732.png,salt,PICTURE_233.png,wardrobe,PICTURE_458.png
22,He cut the papers with scissors,pred_scissors,filler,scissors,PICTURE_453.png,NA,NA,hunter,PICTURE_16.png,plate,PICTURE_234.png,foot,PICTURE_455.png
23,She started typing on the computer,pred_computer,filler,computer,PICTURE_196.png,NA,NA,saw,PICTURE_52.png,light bulb,PICTURE_244.png,sausage,PICTURE_441.png
24,The queen lives inside of the castle,pred_castle,filler,castle,PICTURE_240.png,NA,NA,bag,PICTURE_53.png,root,PICTURE_245.png,pineapple,PICTURE_442.png
25,The musician sang into the microphone,pred_microphone,filler,microphone,PICTURE_28.png,NA,NA,shadow,PICTURE_55.png,pirate,PICTURE_265.png,fly,PICTURE_462.png
26,She took her temperature with a thermometer,pred_thermometer,filler,thermometer,PICTURE_192.png,NA,NA,banana,PICTURE_69.png,wagon,PICTURE_248.png,pyramid,PICTURE_457.png
27,He paired the red wine with cheese,pred_cheese,filler,cheese,PICTURE_72.png,NA,NA,wasp,PICTURE_62.png,brain,PICTURE_247.png,apron,PICTURE_476.png
28,He is a vegetarian so he won't eat meat,pred_meat,filler,meat,PICTURE_81.png,NA,NA,wave,PICTURE_72.png,choir,PICTURE_253.png,tank,PICTURE_621.png
29,On Thanksgiving his family eats turkey,pred_turkey,filler,turkey,PICTURE_19.png,NA,NA,balloon,PICTURE_75.png,shovel,PICTURE_255.png,rose,PICTURE_480.png
30,The rabbit ate the orange carrot,pred_carrot,filler,carrot,PICTURE_285.png,NA,NA,heart,PICTURE_83.png,lizard,PICTURE_252.png,circle,PICTURE_496.png
31,He eats the salad with a fork,pred_fork,filler,fork,PICTURE_673.png,NA,NA,camel,PICTURE_77.png,island,PICTURE_260.png,basket,PICTURE_487.png
32,He saw his reflection in the mirror,pred_mirror,filler,mirror,PICTURE_340.png,NA,NA,tractor,PICTURE_74.png,potato,PICTURE_249.png,coffin,PICTURE_497.png
33,Her tooth hurt so she went to the dentist,pred_dentist,filler,dentist,PICTURE_246.png,NA,NA,broccoli,PICTURE_76.png,lamppost,PICTURE_261.png,stairs,PICTURE_500.png
